1,Titre0,niveau1,niveau2,niveau3,niveau4,niveau5,niveau6,niveau7,niveau8,niveau9,niveau10,,,,,,,
942,Travailler dans un environnement numérique évolutif,"Construire des identités adaptées aux différents contextes (public, privé, professionnel, personnel). Être responsable de toutes ses publications y compris lors de l'utilisation d'un pseudonyme"," Paramétrer ses applications et les services en ligne utilisés de façon à gérer et contrôler ses traces (mot de passe, gestion de l'historique, données de formulaire, etc.).Repérer, lors des recherches et de la navigation, les traces personnelles issues de la collecte (formulaires, cookies, etc.).Comprendre et appliquer les conditions d'utilisation des services en ligne (autoriser ou pas l'utilisation de la géolocalisation, du partage de données et d'application, etc.).", Changer les règles de confidentialité et les paramètres des services utilisés sur le Web; en vérifier régulièrement les modifications.,"S'inscrire et se désinscrire d'un service numérique (lettre d'information, réseau social, flux, etc.).Identifier les éléments de stratégie commerciale des services et matériels utilisés",.,"Identifier les enjeux associés aux modes de codage et de programmation (diversité des langages de programmation, open source); identifier leur impact sur les usages.",,,,,,,,,,,
944,Être responsable,"Comprendre et respecter les grands principes résultant de la loi informatique et libertés (droit à l'information, d'accès, de rectification des données, de suppression, d'opposition; principes de finalité, de pertinence et de proportionnalité).","Porter un avis critique sur une situation liée à l'usage du numérique dans le respect des règles (modalités de diffusion des informations: buzz, hoax, etc.).",Utiliser les ressources du web en respectant le droit d'auteur et la propriété intellectuelle.,.,,,,,,,,,,,,,
946,"Produire, traiter, exploiter et diffuser des documents numériques",Maîtriser les fonctions de base des suites bureautiques.,"Distinguer une simulation ou une modélisation de la réalité, lors du traitement des informations; préciser le contexte associé aux résultats obtenus et ses conséquences sur leur interprétation. Identifier la nature des modèles employés et leurs limites de validité.","Structurer un document (listes, styles, etc.). Créer et réutiliser un modèle, une feuille de style. Insérer automatiquement des informations dans un document, un classeur (notes de bas de page, date de création, numéro de page, etc.)",Créer et modifier un document numérique composite transportable et publiable. Choisir les formats d'importation adaptés au besoin., Utiliser des outils de suivi des modifications.,"Modifier les métadonnées attachées à son document (titre, auteur, date, etc.).",Choisir des types de représentation adaptés à l'information à traiter.,,,,,,,,,,
950,Organiser la recherche d'informations,"Structurer un travail de recherche en définissant son besoin, les outils à mobiliser, la démarche à mettre en oeuvre.","Construire une veille numérique en utilisant des outils de veille adaptés (alertes, fils RSS, abonnements, podcast, etc.).","Mettre en oeuvre, sur un moteur de recherche, les filtres nécessaires pour que la requête soit pertinente.",Connaître les critères de tri du moteur de recherche utilisé.,"Chercher et identifier l'origine de la publication en utilisant au besoin le code source, pour exploiter un document.",Élaborer une bibliographie incluant des documents d'origine numérique.,,,,,,,,,,,
952,"Communiquer, travailler en réseau et collaborer",Connaître et prendre en compte les critères d'accessibilité,Choisir des types de présentation adaptés au mode de communication,"Publier un document en s'appuyant sur des ressources dont l'élève n'est pas l'auteur dans le respect des règles (droit de citation, respect des licences, etc.)","Participer à une production numérique collaborative (site collaboratif, wiki, etc.) dans un esprit de mutualisation, de recherche: choisir des stratégies collaboratives adaptées aux besoins","S'exprimer via les réseaux en identifiant la qualité de l'espace de publication (publique, privée, professionnelle, personnelle)",Participer à un débat en ligne dans le respect des interlocuteurs (Nétiquette),,,,,,,,,,,
960,Acquérir des informations,Maîtriser les symboles usuels,Saisir et trier des informations,Identifier un problème soulevé par un document,"Tirer des informations d'un diagramme, d'un organigramme","Connaître les possibilités d'orientation dans les 4 années à venir
 Les principaux diplômes",,,,,,,,,,,,
965,Stocker des informations,Restituer l'information de façon claire et esthétique,Séparer les contenus différents,Mettre en évidence les parties importantes,Hierarchiser le contenu,Respecter l'orthographe.,Utiliser des phrases complètes,,,,,,,,,,,
969,Communiquer,restituer des connaissances,Adapter son langage et ses outils de communications,S'exprimer correctement à l'oral,S'exprimer correctement à l'écrit,Communiquer à l'aide du langage scientifique.,Ecrire une synthèse structurée avec des connecteurs logiques.,,,,,,,,,,,
980,Attitude,Etre assidu,Etre volontaire/essayer,Respecter le matériel et les personnes,Savoir adapter son volume sonore aux circonstances,Jouer son rôle au sein d'un groupe,Travailler efficacement en équipe,Developper son esprit critique,Innovation,,,,,,,,,
985,Autonomie,Amener le matériel nécessaire,Suivre et respecter des consignes,Savoir gérer son cahier,Savoir prendre des notes,Arriver à travailler seul,Mener une recherche et en rendre compte,Savoir optimiser son temps de travail,Pouvoir s'auto-évaluer,,,,,,,,,
